,tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product,emotion
1648,"Funny RT @mention Yes, there's a line in front of the all-but-confirmed pop-up Apple Store at #SXSW. {link}",Apple,Positive emotion,neg
1649,Nice! RT @mention Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxsw,Android,Positive emotion,pos
1650,Now *that* is customer service ÛÓ &quot;Apple opens temporary store near #SXSW&quot; {link},Apple,Positive emotion,pos
1651,*APPLAUDS*' {link} Holler Gram is the most fun iPad app!! It's for #sxsw but fun for anyone to play with!!,Apple,Positive emotion,neg
1652,"Dealing w/ @mention white freeze screen far too much, while at #SXSW everyone has an iPhone...making conversion a possibility #Efficient",Apple,Positive emotion,pos
1653,"Uh oh. :-\ RT @mention I left my WHITE iPhone 4 in a cab in Austin at #SXSW  Internet, please help.",Apple,No emotion toward brand or product,pos
1654,@mention &amp; @mention are becoming competitors 4 @mention now that they're starting to realize #checkins are cool. #sxsw #sxswi,none,No emotion toward brand or product,neg
1655,@mention &amp; @mention are becoming competitors for @mention now that they're starting to realize #checkins are cool. #sxsw,none,No emotion toward brand or product,neg
1656,@mention &amp; @mention are wearing what I have been up to all day at #SXSW for @mention #iPhone #iosdevices {link},Apple,No emotion toward brand or product,neg
1657,@mention &amp; @mention were quick to encourage SEO practitioners to avoid dwelling on page rank (focus on content) #sxsw,none,No emotion toward brand or product,neg
1658,@mention &amp; @mention Who needs to go to #SXSW when you can download a SXSW sampler for free? #BallinOnABudget {link},none,No emotion toward brand or product,neg
1659,@mention &amp; I just finished a mad dash to complete an iPad-formatted web app for a client that'll be showing it off at #SXSW. It's been fun.,Apple,No emotion toward brand or product,neg
1660,At #SXSW &amp; looking to sell your iPad 1?,Apple,No emotion toward brand or product,neg
1661,80s hair &amp; Makeup station at @mention @mention #sxsw #partylikeits1986 {link},none,No emotion toward brand or product,neg
1662,At #sxsw &amp; want to drink free? Get the Ask Around IPhone App to find out where we are &amp; join us for drinks in #Austin.,none,No emotion toward brand or product,pos
1663,Wanna 5'6&quot; chinese dude as your bff? Bring me an effen iPhone charger #sxsw,Apple,No emotion toward brand or product,pos
1664,"Estoy en &quot;Designing iPad Interfaces - New Navigation Schemas at SXSW.&quot;
{link} #SXSW #UXDes",Apple,No emotion toward brand or product,neg
1665,"Ideally, &quot;Google logos bring people together socially.&quot; @mention (creative lead for the google doodle team) #gsdm #googledoodle #sxsw",Google,Positive emotion,pos
1666,@mention &quot;I've only seen one iPad 2 at #SXSW so far.&quot; Then 30+ audience members raise their iPad 2's.,Apple,No emotion toward brand or product,neg
1667,"@mention &quot;I've worked at Google for over 11 years, so I've seen a lot of evil.&quot; #qagb #sxsw",Google,Negative emotion,neg
1668,"@mention &quot;OMG I'm gonna miss 2 panels at #sxsw standing in line for and 1 panel playing with my new iPad, but it'll be worth it. #ponies&quot;",Apple,Positive emotion,pos
1669,#sxsw -- &quot;The shape of city will expand/contract with real time data&quot;.  Google developer encourages audience to google &quot;mapping Japan&quot;.,Google,No emotion toward brand or product,pos
1670,"Apple is &quot;the classiest, fascist company in America,&quot; says @mention #sxsw",Apple,I can't tell,pos
1671,Re: iPad &quot;The arm is a giant meat-pointer&quot; hilarious. @mention #sxsw,Apple,Positive emotion,neg
1672,"I asked, &quot;Why should(n't) I get an iPad 2?,&quot; earlier today. So far I have 3 people against me getting on and 2 for. Thoughts? #SXSW #SXSWI",Apple,No emotion toward brand or product,neg
1673,@mention #@mention android dev meetup you say?? #SXSW #SXSW,Android,No emotion toward brand or product,pos
1674,"&quot;Oh #@mention There goes search!.&quot; Watch out Google, @mention seems to be coming after you
#launch #sxsw",Google,No emotion toward brand or product,neg
1675,#SXSW Tip#2 Use your smartphone's Google Maps App when you land in Austin to find the next $1 bus downtown. :) {link},Google,Positive emotion,pos
1676,The only #airline to be mentioned by Guy Kawasaki as delightful like Apple (drumroll)... @mention (!!) Congrats! #sxsw,Apple,Positive emotion,pos
1677,Must see #android app at #sxsw &quot;Bizzy&quot; {link},Android,Positive emotion,neg
1678,@mention #Apple is setting up a special temp store just for us at #sxsw in Downtown #Austin ;) #ipad2 {link},Apple,No emotion toward brand or product,pos
1679,"hoping a #blackberry or #sprint popup store opens up so i can get an xtra battery.  Yes, I still have sprint and a blackberry #sxsw #apple",Apple,No emotion toward brand or product,neg
1680,@mention #BT #SXSW &quot;Having a really GREAT social search is probably a very good idea for #google&quot; @mention,Google,Positive emotion,pos
1681,@mention #discovr now available on #iPhone and killing it at #sxsw - GET IT!! - {link},Apple,Positive emotion,pos
1682,Google's #geosocial Offers platform goes live at #SXSW {link},Google,No emotion toward brand or product,pos
1683,Updated: #HBS #StartupTribe meets at #SXSW Sat 3/12 4pm info--&gt; {link} - Drinks + @mention + students. Check back 4 changes,none,No emotion toward brand or product,neg
1684,@mention #hollergram app is killing it at #sxsw {link},Apple,Positive emotion,neg
1685,#Monster #ipad #jobsearch app video for #SXSW video wall {link},Apple,No emotion toward brand or product,neg
1686,"@mention #iPad Lounge at @mention - Free daily for #sxsw - free coffee, #iPad #Art. Recharge. Austin Details {link}",Apple,No emotion toward brand or product,pos
1687,"@mention #iPad Lounge: Recharge while you see #Art From the #iPad show, daily for #SXSW åÇ Austin Details {link}",Apple,No emotion toward brand or product,pos
1688,"Why not? #iPad2 #SXSW #popup @mention Apple Store, SXSW {link}",Apple,No emotion toward brand or product,pos
1689,"#android #iphone: Chris Sacca Tweets Out A Fake #SXSW Beta Invite, Follower Swarm Ensues: 
@mention {link} #androidcrunch",Apple,No emotion toward brand or product,neg
1690,#pubcamp #kirkus #sxsw   download Qrank on your ipad/iphone before you come to pubcamp sxsw 2011 - prizes!,Apple,Positive emotion,pos
1691,#pubcamp #kirkus #sxsw download Qrank on your ipad/iphone before you come to pubcamp sxsw 2011 - prizes!,Apple,Positive emotion,pos
1692,Scored a #mophie juice pack at the #tradeshow #sxsw. Double your iPhone battery!,Apple,No emotion toward brand or product,neg
1693,Lightbox #Photos Wants To Be Your New #Android #Camera #App (#SXSW) {link},Android,No emotion toward brand or product,pos
1694,@mention #qagb with @mention Listening to @mention and @mention talk about website ranking with Google and Bing #sxswi #sxsw #google #bing,Google,No emotion toward brand or product,neg
1695,"Oh yeah! #saysshewithoutanipad RT @mention Flipboard's next platform will be the iPhone, CEO @mention says #sxsw (via @mention",Apple,Positive emotion,pos
1696,#sxsw At #smileyparty and really want to win sn iPad!!!!!,Apple,Positive emotion,pos
1697,@mention #sxsw - free tunage on iTunes {link},Apple,Positive emotion,pos
1698,#killing #sxsw &quot;you can google a canadian tuxedo and lose yourself for hours&quot;,Google,No emotion toward brand or product,neg
1699,Heard at #sxsw #Android is now the leading market share of smart phones in US. #getjarsxsw,Android,Positive emotion,pos
1700,@mention #SXSW #Apple #iPad2 {link},Apple,No emotion toward brand or product,pos
1701,#sxswnui #sxsw #apple defining language of touch with different dialects becoming smaller,Apple,No emotion toward brand or product,pos
1702,#checkin #sxsw #crowley - Who are Foursquare's competitors? Google. Facebook.,Google,No emotion toward brand or product,pos
1703,"#checkin #SXSW #crowley ~ #Google in the social space...don't know when, or what it's going to look like.",Google,No emotion toward brand or product,pos
1704,"@mention #sxsw #google tv - thanks to Google TV, I can watch Guy live in my own livingÛ_ {link}",Google,Positive emotion,pos
1705,@mention #sxsw #ipad fans get really excited for the unique design of  the klick #sleeves. Do you have any models with straps?,Apple,Positive emotion,pos
1706,#sxswnui #sxsw #xwave control #iPhone with your brain,Apple,No emotion toward brand or product,neg
1707,"Day 5 of #sxsw already! What are you doing? Share photos, video with iReport: {link} or through CNN iPhone app!",Apple,No emotion toward brand or product,pos
1708,Official #SXSW App Û÷SXSW GOÛª {link} #android #iphone #ipad,Apple,No emotion toward brand or product,neg
1709,"With the #sxsw app and Google Maps, I'm pretty sure that the schwag bag is just a waste of paper.",Google,Positive emotion,neg
1710,"@mention #sxsw blogger is orange, wodpress is blue, Google owns the market, so what do you do #winning",Google,Positive emotion,pos
1711,My first #SXSW blog post for the @mention Grand opening of the Apple popup store {link},Apple,Positive emotion,pos
1712,Those at #SXSW check out the Holler Gram ipad app from @mention  {link} &lt; tis covered in awesome sauce!,Apple,Positive emotion,neg
1713,@mention #SXSW don't forget @mention to plan your schedule. Plus our free iphone app {link},Apple,Positive emotion,pos
1714,Engaging #sxsw filter on my @mention iPhone/iPod Twitter app. #youkidshavefun,Apple,No emotion toward brand or product,pos
1715,"All this #sxsw gadget lust is rubbing off on me, I think I want an iPad 2... must escape soon!",Apple,Positive emotion,pos
1716,"I'd take #sxsw hashtags over scheen, ipad/ipad2, tv or sports tweets any day, but for those needing a filterÛ_ {link}",Apple,I can't tell,neg
1717,"Now that #SXSW Interactive is over, can #Apple redirect those daily #iPad2 shipments from their Austin pop-up store to the SF Bay Area?!",Apple,No emotion toward brand or product,pos
1718,@mention #SXSW iPad rocks,Apple,Positive emotion,neg
1719,Official #SXSW IPhone/iPad/iOS meetup is almost all employers looking for developers.  {link},Apple,No emotion toward brand or product,neg
1720,@mention #sxsw is going to be alot better when u have iPad 5 to carry around ;),Apple,Positive emotion,pos
1721,"#sxswnui #sxsw laptop denotes work, #iPad denotes fun",Apple,Positive emotion,neg
1722,In Apple #SXSW line for iPad 2. Staff just cleared us as good to go for 32g. Only 16gb white and 64g At&amp;t black out of stock.,Apple,No emotion toward brand or product,pos
1723,Google's #SxSW party theme is &quot;Party like it's 1986&quot; :) (@mention Maggie Mae's) [pic]: {link},Google,Positive emotion,pos
1724,Any nice #sxsw people want to suggest where I can get a pre-paid microsim for iPad in downtown Austin?,Apple,No emotion toward brand or product,neg
1725,Enjoying #SXSW Radio Station {link} If you have an iphone use link {link} &amp; plug it into your sound system.,Apple,Positive emotion,pos
1726,Me too!! #sxsw RT @mention Hanging out with @mention at the @mention #google Industry Party...good crowd!  #sxsw,Google,Positive emotion,neg
1727,Starting #sxsw session &quot;Steve Jobs and the Rise of the Techno Priests&quot; #apple,Apple,No emotion toward brand or product,neg
1728,"@mention #SXSW so far: partied w/ google, twilio, Lego, milyoni (sick taco party), now big boi concert by 4sq and instagram.",Google,No emotion toward brand or product,neg
1729,My first #SXSW survival kit. iPhone not in the shot because I'm using it to take the picture.  {link} I might be ready.,Apple,Positive emotion,pos
1730,Rumor at #SXSW that Google will launch a new social network called &quot;Circles&quot;. {link} @mention,Google,No emotion toward brand or product,pos
1731,Who's at #sxsw that can a 64gb iPad 2 with 3G? I'll Paypal right now! ;),Apple,Positive emotion,pos
1732,"I am not #SXSW worthy since I don't know what UX is. RT @mention 
So, @mention product on the iPhone. Period. The UX is...",Apple,No emotion toward brand or product,pos
1733,Fear not #SXSW-ers! RT @mention Confirmed! Apple store 2 week popup in Austin for #SXSW {link},Apple,Positive emotion,pos
1734,"#tech At #SXSW, #Apple schools the marketing experts {link} #technology",Apple,No emotion toward brand or product,pos
1735,"#tech At #SXSW, #Apple schools the marketing experts: Thousands are in town to demonstrate their social... {link} #technology",Apple,No emotion toward brand or product,pos
1736,"&quot;At #SXSW, Apple schools the marketing experts&quot;  {link}",Apple,Positive emotion,neg
1737,"#tech At #SXSW, Apple schools the marketing experts {link}",Apple,Positive emotion,pos
1738,"bored at #SxSW, try this iphone app: {link}",Apple,Positive emotion,neg
1739,"Today at #SXSW: Bulletproof UX strategy, games &amp; design patterns with Google, and the anatomy of a design decision.",Google,No emotion toward brand or product,pos
1740,Free for #SXSW: fluffertraX Radio #iPhone app--{link},Apple,Positive emotion,pos
1741,Going to #SXSW?  Check out our new Rhapsody/Echo Nest app to help figure out what shows to see: {link},none,No emotion toward brand or product,neg
1742,Going to #SXSW? Come by the #EMC Consulting booth for your chance to win an iPad 2! @mention @mention,Apple,Positive emotion,neg
1743,Going to #SXSW? Here's a google map of free wi-fi hotspots: {link} (warning: it's from 2009),Google,No emotion toward brand or product,pos
1744,Going to #SXSW? Join Google &amp; YouTube for special events &amp; more: {link} #googlesxsw,Google,No emotion toward brand or product,pos
1745,Going to #sxsw? Need a lift from the airport? Register for the FREE @mention shuttle! {link},none,No emotion toward brand or product,neg
1746,Going to #SXSW? Plan to visit the #EMC booth for your chance to win an iPad! @mention @mention,Apple,No emotion toward brand or product,pos
1747,Going to #SXSW? Sign up for Filmaster iPhone app with code &quot;SXSW&quot; to get a cool t-shirt on site: {link},Apple,No emotion toward brand or product,neg
1748,Going to #SXSW? The new iPhone guide to #Austin by @mention is free March 9-15. Hard to beat free. #lp,Apple,Positive emotion,neg
1749,At #sxsw #tapworthy iPad Design Headaches - avoiding the pitfalls of the new design challenges,Apple,Negative emotion,pos
1750,@mention #webmobile talking about #mVideo. Talked about iPhone and Android video but what about the other 85% of phones? #SXSW,Android,No emotion toward brand or product,neg
1751,#winning #winning - just gave away 5 red mophie juice pack air's to fans with #Tigerblood at #SXSW No more dead iPhone batteries 4 them!,Apple,No emotion toward brand or product,neg
1752,Mayer: 20% of Google searches are for local information #SXSW ^pr,Google,No emotion toward brand or product,pos
1753,Hashable + American Psycho woot! RT @mention New post: Business cards are dead: Send me your card via Hashable at #SXSW {link},none,No emotion toward brand or product,pos
1754,Evernote + iPhone is awesome for #sxsw notes/photos #taccsxsw,Apple,Positive emotion,pos
1755,Disaster = iPhone died in middle of #sxsw ... can't function. heading to apple store.,Apple,Negative emotion,pos
1756,Quadroid = Qualcomm + Android just called the platform of the next decade vs Wintel #sxsw #cloud,Android,Positive emotion,pos
1757,If I had $1 for every person holding his iPhone above his head to take a pic of this crowd....I would have several dollars. #SXSW,Apple,No emotion toward brand or product,pos
1758,"I'll pay $681.00 for a New, Unopened iPad 2 16GB with 3G for Verizon - Black. Visit www.Zaarly.com to claim the cash. #willpay #sxsw",Apple,No emotion toward brand or product,pos
1759,"I'll pay $900 for a new iPad 2, white, 32 GB, 3G in the next 20 hours. {link} #willpay #sxsw #zaarly",Apple,Positive emotion,neg
1760,@mention $AAPL should've just put the iPad pop-up store right after the badge pickup line for #SXSW in the convention center,Apple,No emotion toward brand or product,neg
1761,#google 80's party @mention maggie's! Hair did makeup did and rockin out with @mention #sxsw,Google,No emotion toward brand or product,pos
1762,Google: 40% of map usage is mobile. Seeing a demo of new version of mobile maps. Nice! #SXSW,Google,Positive emotion,pos
1763,Head to 605 for a chance to win RT @mention Almost time to enter to win an iPad 2 at the #EMC booth in the #SXSW exhibit hall! @mention,Apple,No emotion toward brand or product,neg
1764,"The iPad 1 is so March 11, 2011 4:59PM PST. #sxsw",Apple,Negative emotion,pos
1765,"#SXSW 2011 Trends:
Out: Google
In: Twitter
Next: Angry Birds",Google,Positive emotion,pos
1766,#SXSW 2011: Demo Of Samsung TV Controlled By #Android Phone {link},Android,No emotion toward brand or product,pos
1767,"#SXSW 2011: HeyWire launches group chat with Facebook, Google and Twitter {link}",Google,No emotion toward brand or product,pos
1768,#SXSW 2011: Novelty of #iPad news apps fades fast among digital delegates {link},Apple,No emotion toward brand or product,neg
1769,#SXSW 2011: Novelty of #iPad news apps fades fast among digital delegates {link} via @mention,Apple,Negative emotion,neg
1770,#SXSW 2011: Novelty of iPad news apps fades fast among digital delegates {link},Apple,Negative emotion,neg
1771,#SXSW 2011: The #Google and #Bing smackdown in all its bloody banality {link},Google,Negative emotion,neg
1772,#SXSW 2011: The #Google and #Bing smackdown in all its bloody banality {link} via @mention @mention,Google,Negative emotion,pos
1773,#SXSW 2011: The Google and Bing smackdown in all its bloody banality (Guardian) {link} via @mention,Google,No emotion toward brand or product,pos
1774,Not even 10am here in Austin and my iPhone batt is at 54% - shit #SXSW #notevenstartedyet,Apple,Negative emotion,pos
1775,Google's 1986 themed party at #sxsw  @mention Maggie Mae's {link},Google,No emotion toward brand or product,pos
1776,AOS iPad 2 giveaway is picking up steam! #SXSWi #SXSW @mention Mashable MashBash SXSWi {link} #photo,Apple,No emotion toward brand or product,neg
1777,Our iPad 2 giveaway for #SXSW closes today! All you need to do is sign up at {link}  to be entered automatically. (pls RT!),Apple,No emotion toward brand or product,neg
1778,The iPad 2 goes on sale next Friday...the Austin Apple Store is going to be busy! #SXSW,Apple,Positive emotion,pos
1779,"@mention 2 heck w/being sick, #Apple is supposedly setting up mini-store at #sxsw - I so have to go now!! &amp; I'm feeling 95%, so plan 2 go",Apple,No emotion toward brand or product,neg
1780,The iPad 2 is just a better product... They have had time to make worthwhile improvements... @mention Diller #SXSW,Apple,Positive emotion,neg
1781,The iPad 2 is the also a cartoonishly large digital camera. #SXSW #CStejas {link},Apple,I can't tell,pos
1782,The iPad 2 launch is all the buzz at #SXSW 2011 {link} via @mention @mention #apple #tablet #marketing #advertising #ipod,Apple,Positive emotion,pos
1783,The iPad 2 launch is really at *South By* in Austin?  That is so inde.    ÛÓ  #sxsw #mac #ipad @mention,Apple,Positive emotion,pos
1784,The iPad 2 line #SXSW {link},Apple,No emotion toward brand or product,pos
1785,The iPad 2 line is only about 20 minutes long #sxsw,Apple,No emotion toward brand or product,neg
1786,The iPad 2 Takes Over #SXSW [#VIDEO] {link} #channels #gadgets #news #uncategorized,Apple,Positive emotion,pos
1787,The iPad 2 Takes Over #SXSW [#VIDEO]: One of the biggest events the first day of SXSW 2011Û_ {link},Apple,Positive emotion,pos
1788,The iPad 2 Takes Over #SXSW [VIDEO] {link},Apple,Positive emotion,pos
1789,The iPad 2 Takes Over #SXSW [VIDEO] {link} via @mention @mention,Apple,Positive emotion,pos
1790,The iPad 2 Takes Over #SXSW [VIDEO]: {link},Apple,Positive emotion,pos
1791,The iPad 2 Takes Over #SXSW [VIDEO]: {link} via Mashable,Apple,Positive emotion,pos
1792,The iPad 2 Takes Over SXSW [VIDEO] {link} #apple #iPad #SXSW,Apple,Positive emotion,pos
1793,The iPad 2 Takes Over SXSW [VIDEO] {link} #ipad2 #SXSW,Apple,Positive emotion,pos
1794,Get over 20 free tracks from the @mention Music Sampler! @mention has a track on there! Check it out @mention {link} #SXSW,none,No emotion toward brand or product,pos
1795,Download 20+ free tracks from the @mention Music Sampler on @mention including @mention {link} #SXSW,none,No emotion toward brand or product,pos
1796,Download 20+ free tracks from the @mention Music Sampler on @mention including #glove! {link} #SXSW,none,No emotion toward brand or product,pos
1797,Download 20+ free tracks from the #SXSW Music Sampler on @mention including @mention {link},none,No emotion toward brand or product,pos
1798,My #sxsw 2011 new iPhone app page. What's missing? See any breakouts? {link},Apple,No emotion toward brand or product,neg
1799,Stoked.  22 free #SXSW songs from iTunes: {link}  My personal favorite = Barton Hollow by @mention #sundaymorning,none,No emotion toward brand or product,pos
1800,We're at 2nd and congress #SXSW #RewardsWagon with @mention bookbook iPad cases. Get here fast. :),Apple,Positive emotion,pos
1801,@mention 3 &amp; @mention  VS @mention &amp; &quot;Groupon or Living Social-type&quot; Rewards - {link} Battle for #SXSW begins!,none,No emotion toward brand or product,neg
1802,Google #h4ckers audience 95% male- devs are smart (&amp; easy when there's free alcohol) ;) #SXSW  @mention Speakeasy {link},Google,No emotion toward brand or product,pos
1803,The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight {link} #SXSW #KeepAustinWeird,Android,Positive emotion,neg
1804,I'd say 75% of booths at this tradeshow are waffling off an iPad 2. About the same portion have reps dressed up as crazy characters. #SxSW,Apple,No emotion toward brand or product,pos
1805,"#sxsw: #15slides: Gruber: keeps on desk Apple Extended Keyboard 2 (discontinued in 1991, $169). Loud. But feels like he writes better.",Apple,Positive emotion,neg
1806,#wjchat Q7A: I'm going iPhone/iPad only. Bought a Zagg keyboard. I have high hopes this plan will work. #SXSW,Apple,Positive emotion,pos
1807,{link} via @mention pretty neat database I must say.  does it work on my #android we shall see. #sxsw #party #free,Android,Positive emotion,pos
1808,Just won a @mention #sxsw mystery prize! I hope it's an iPad 2:) Thanks for a great panel and the gift. #DiscoTalk,Apple,Positive emotion,pos
1809,"$15k for a &quot;high-quality PDF&quot; iPad app is a good investment for small mags, says Chris Tomlinson, formerly Texas Obs (now AP) #sxsw",Apple,Positive emotion,neg
1810,We setup a #SXSW demo restaurant page. Sign up or download our iPhone app to check it out {link} &amp; say hi to @mention at #SXSWi,Apple,Positive emotion,neg
1811,Just got a back door invite to the Google party. goona network my ass off! #SXSW,Google,Positive emotion,neg
1812,Great idea behind #circles RT @mention &amp; @mention Google Launching Secret New Social Network Called Circles {link} #sxsw,Google,Positive emotion,pos
1813,"3rd time a charm? All about privacy! RT @mention Google to Launch New Social Network, Circles, maybe today? {link} #sxsw",Google,Positive emotion,pos
1814,Building a custom Android home screen for #sxsw #SXSWi stuff. Any other must haves? {link},Android,No emotion toward brand or product,pos
1815,Just got a free iPhone charger. Someone came up to me and gave me one randomly. I love #sxsw!,Apple,Positive emotion,neg
1816,Just got a free iPhone-charger from Alex on the #Powermatteam. Wow. Makes life at #SXSW so much easier! Thanks!  {link},Apple,Positive emotion,pos
1817,&quot;...a full service web app (MAC)...&quot; - I can only assume that this is something like an iPhone app for Internet Explorer. #sxsw,Apple,No emotion toward brand or product,neg
1818,Enjoying a Google ice cream sandwich at the GSD&amp;M party...with an edible wrapper! #welivehere #gsdm #SXSW  {link},Google,Positive emotion,neg
1819,"There is a great festival #app for #sxsw featured on the app store works with google maps and plan schedule, and it's #free",Apple,Positive emotion,pos
1820,"Watching a guy simultaneously use a laptop and an iPad. The Force is strong with this one, mmm. #sxsw",Apple,Positive emotion,pos
1821,Just saw a guy tweeting on his iPad while peeing... This is #sxsw,Apple,No emotion toward brand or product,neg
1822,That was a hoax then. RT @mention &quot;We're not launching any products at #SXSW but we're doing plenty else.  {link},none,No emotion toward brand or product,pos
1823,The Beluga iPhone app is the highlight of this #SXSW. Excellent way to coordinate the #sxsw4japan relief effort.,Apple,Positive emotion,pos
1824,"Gettiing a last minute visit from @mention and @mention  I'd like to think it's for me, but it's all about the iPad.  #sxsw",Apple,No emotion toward brand or product,neg
1825,there is a line in front of the &quot;secret&quot; apple ipad store on congress ave but it's not very long. the line at sbux is longer. #sxsw,Apple,No emotion toward brand or product,pos
1826,Apple is a more selfish brand than Microsoft but it has served its brand well.#sxsw,Apple,Negative emotion,pos
1827,Just got a new #iPad case from @mention #SXSW - check out the female alien {link},Apple,No emotion toward brand or product,neg
1828,"Go Game, a new #LBS scavenger hunt , launches at #SXSW.  Service creates customized games for events. via @mention {link}",none,No emotion toward brand or product,pos
1829,Awww yeaaa new music from @mention just in time for #sxsw {link},none,No emotion toward brand or product,pos
1830,Just saw a preview of the new @mention iPad app. Awesome. #sxsw,Apple,Positive emotion,pos
1831,"Watching a promo for Google earth engine at 'Techies can save the world, why don't they?'. Harnessing collective power for good. #sxsw",Google,Positive emotion,neg
1832,If I was a really bad person I could have just stolen this guys ipad... Just saying. #sxsw,Apple,Positive emotion,neg
1833,Just had a really great #mophie experience at #sxsw -a user for over 3 months I highly recommend their iPhone 4 battery #goodcustomerservice,Apple,Positive emotion,pos
1834,It's not a rumor: #Apple is opening up a pop-up store in downtown Austin for #SXSW &amp; iPad 2 launch (via @mention {link},Apple,Positive emotion,pos
1835,It's not a rumor: Apple is opening up a popup store for #SXSW + the #iPad2 launch {link} via @mention @mention @mention,Apple,No emotion toward brand or product,pos
1836,It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link},Apple,No emotion toward brand or product,pos
1837,It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link} #rgv,Apple,No emotion toward brand or product,pos
1838,It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link} via @mention,Apple,No emotion toward brand or product,pos
1839,It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch bit.ly/g03MZB,Apple,No emotion toward brand or product,pos
1840,It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch: It'... {link},Apple,Positive emotion,pos
1841,It's not a rumor: Apple opening up a temporary store in downtown Austin for #SXSW &amp;iPad 2 launch {link},Apple,No emotion toward brand or product,pos
1842,Not just a rumor: the pop-up Apple Store at #SXSW exists...and they're still selling iPads.  {link},Apple,No emotion toward brand or product,pos
1843,"&lt;just a rumor...&gt; RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",Google,No emotion toward brand or product,pos
1844,"Just got a shiny new #iPad2 at #SXSW ? Discover new music with {link} (built in HTML5, not Flash - looks great on iPad)",Apple,Positive emotion,neg
1845,Watching a talk by the guy who hired Jony Ive into Apple. #SXSW #industrialdesign,Apple,No emotion toward brand or product,neg
1846,There is a tech bro posed as a homeless person outside the apple pop up with a sign asking for $$$ for an iPad #SXSW,Apple,Positive emotion,pos
1847,#sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.,Apple,Positive emotion,neg
1848,At Q&amp;A with Google and Bing on website rankings. Fun. #sxsw,Google,Positive emotion,pos
1849,"At Q&amp;A with google and bing panel. #sxsw (@mention Hilton, Salon J w/ 59 others) {link}",Google,No emotion toward brand or product,pos
1850,Is Marissa@mention #SXSW wearing a Missoni top????,none,No emotion toward brand or product,neg
1851,"Learning ab Google doodles! All doodles should be light, funny &amp; innovative, with exceptions for significant occasions. #GoogleDoodle #sxsw",Google,No emotion toward brand or product,pos
1852,"3/5 available for Android. &gt;&gt; 5 Absolute, Must-Have Apps to Rock #SXSW Interactive by @mention {link} via @mention",Android,Positive emotion,pos
1853,Free portable iPhone charger from @mention I'm about to use the heck out of this at #SXSW. {link},Apple,Positive emotion,pos
1854,saw #Hashable pushed out an update to its iPhone app - looks ready to use as the paperless biz card solution for  #SXSW,Apple,Positive emotion,neg
1855,"Quick, enable the bubble barriers over #PAXEast, #SXSW and all Apple stores. Protect your new #nerdking.",Apple,No emotion toward brand or product,pos
1856,SXSW Quotables are giving away an iPad 2 today - all you need to do is sign up at {link} to be entered automatically. #sxsw,Apple,No emotion toward brand or product,pos
1857,It's probably best to keep me away from any Apple pop up stores - the temptation to get a White 3G iPad for #SXSW is insanely tempting.,Apple,Positive emotion,pos
1858,"Learning about all the latest food related apps.  Half the people in this rm make apps #sxsw #gsdm check out lovefresh, coming soon  iphone",Apple,Positive emotion,pos
1859,Not just about pretty content. Nat Geo has pretty article on iPad. Cooler is twitter list of current Arctic explorers. #flipboard #SXSW,Apple,Positive emotion,pos
1860,Thinking about standing outside the Austin Apple Store on 3/11 with $200 cash to snatch iPad 1 from those upgrading. #SXSW,Apple,No emotion toward brand or product,neg
1861,Learning about the future of search from @mention &amp; @mention Creepily social and awesome. #SXSW,none,No emotion toward brand or product,pos
1862,@mention about to talk at #sxsw on mistakes building #Netflix #iphone app,Apple,Negative emotion,neg
1863,"Learning about using HTML5 across multiple devices by looking at freebeernear.me on the Web, Android, OSX and iPhone #hack5 #sxsw #donline",Android,No emotion toward brand or product,pos
1864,Keeping tabs on #sxsw via  @mention Awesome iPad app,Apple,No emotion toward brand or product,pos
1865,fucking mac users..... {link} #sxsw CWebb iPad Grant Hill,Apple,Negative emotion,neg
1866,Talking #accessibility and found this from a google engineer. {link} #sxsw #iQlab,Google,No emotion toward brand or product,pos
1867,Google Places with Hotpot personalized &quot;friend&quot; recommendations are pulled from... Facebook??? #SXSW,Google,No emotion toward brand or product,pos
1868,"Yikes, reached a new level of Apple-fanboyism last night: literally fell asleep with a MacBook Pro, iPad 2, &amp; iPhone 4 on top of me. #SXSW",Apple,Positive emotion,neg
1869,"looking back at some of my tweets from #sxsw and holy wow, so many typos! ughhhhh. autocorrect and my inability to type on ipad. goo",Apple,No emotion toward brand or product,neg
1870,"Touch: trackpads first, iPhone, iPad - positives- more natural, don't have to sit, mobile, more relaxed #SXSW #sxswnui",Apple,Positive emotion,pos
1871,"#SXSW ÛÒ Rackspace Startup Program, Cloud 2.0 #iPad App Launched {link} via @mention",Apple,No emotion toward brand or product,pos
